Pays;Angleterre_14_15;Angleterre_15_16;Angleterre_16_17;Angleterre_17_18;Angleterre_18_19;Angleterre_19_20;Angleterre_20_21;Angleterre_21_22;Angleterre_22_23;Pays_de_Galle_14_15;Pays_de_Galle_15_16;Pays_de_Galle_16_17;Pays_de_Galle_17_18;Pays_de_Galle_18_19;Pays_de_Galle_19_20;Pays_de_Galle_20_21;Pays_de_Galle_21_22;Pays_de_Galle_22_23;Ecosse_14_15;Ecosse_15_16;Ecosse_16_17;Ecosse_17_18;Ecosse_18_19;Ecosse_19_20;Ecosse_20_21;Ecosse_21_22;Ecosse_22_23;UE_IdN_14_15;UE_IdN_15_16;UE_IdN_16_17;UE_IdN_17_18;UE_IdN_18_19;UE_IdN_19_20;UE_IdN_20_21;UE_IdN_21_22;UE_IdN_22_23
Austria;1615;1525;1805;1585;1580;1585;1545;1225;1060;45;45;65;35;45;40;40;40;35;375;340;195;370;375;330;325;275;205;10;10;10;5;10;10;10;5;10
Belgium;2720;2575;2660;2695;2705;2725;2630;2065;1780;90;60;85;80;90;70;90;75;45;405;380;390;410;400;335;360;330;270;5;5;5;5;5;10;5;5;10
Bulgaria;4685;4405;4445;4740;4720;4665;4585;3165;2060;310;315;310;310;325;300;255;145;75;1185;1625;1515;1335;1070;985;920;685;440;10;10;10;10;10;10;10;5;5
Croatia;845;290;445;665;945;1005;1010;730;480;50;15;25;40;55;55;55;35;20;105;50;75;85;120;120;115;95;75;5;0;5;5;5;0;0;0;0
Cyprus;8225;8850;8320;8030;7775;7535;7230;5405;4195;500;280;355;435;490;425;385;305;215;745;665;685;755;730;715;710;610;450;15;5;5;15;10;5;10;15;10
Czech Republic;1890;1010;1275;1600;2160;2300;2450;1805;1405;165;40;55;115;160;170;170;125;70;450;370;390;425;440;435;425;325;235;10;0;5;10;10;10;5;5;5
Denmark;1180;1145;1085;1125;1160;1100;1080;840;670;35;25;25;25;35;30;35;25;15;330;230;245;305;360;360;350;285;200;10;0;5;10;15;10;10;5;5
Estonia;785;775;785;830;750;705;690;500;350;50;50;50;55;50;45;30;25;20;150;265;200;165;130;115;115;95;65;0;0;0;5;0;0;0;0;0
Finland;1155;1170;1205;1150;1150;1130;1140;765;550;50;60;65;55;55;45;35;20;15;860;695;735;825;895;820;700;520;340;5;5;5;5;5;5;10;10;5
France;11255;9935;10490;11350;11390;11500;11720;9910;8680;820;735;595;680;710;525;375;360;295;1935;1530;1730;1850;1915;1945;1935;1560;1305;75;25;40;45;75;60;60;40;30
Germany;9930;10165;9810;10095;9930;9540;9290;7450;6320;1035;835;815;1025;930;740;540;505;365;2825;2755;2940;2805;2830;2545;2360;1925;1495;75;105;70;60;70;60;65;35;55
Greece;8200;8035;7785;8030;8150;8040;7910;5850;4495;520;530;530;540;485;440;415;275;195;1510;1580;1495;1540;1380;1290;1195;950;740;40;30;25;40;35;25;30;20;25
Hungary;1660;1230;1385;1565;1780;1910;2065;1615;1210;95;45;45;65;105;105;85;50;25;500;460;515;515;495;510;495;385;295;5;5;5;0;5;5;5;0;5
Ireland;5295;5950;5715;5680;5145;4585;4835;4940;4610;430;575;535;490;365;360;365;335;260;1890;2110;1885;1880;1970;2100;2375;2275;1775;2120;2345;2195;2095;2245;2085;2170;2290;2765
Italy;12105;9270;10625;11695;12105;12250;12390;9585;7920;365;295;330;390;345;300;250;200;140;2070;1325;1635;1830;2075;2025;1920;1510;1125;45;30;40;45;45;40;45;35;35
