Pays;Angleterre;Pays de Galle;Ecosse;Ireland du Nord
Austria;34,365;22,222;45,333;0,000
Belgium;34,559;50,000;33,333;-100,000
Bulgaria;56,030;75,806;62,869;50,000
Croatia;43,195;60,000;28,571;100,000
Cyprus;48,997;57,000;39,597;33,333
Czech Republic;25,661;57,576;47,778;50,000
Denmark;43,220;57,143;39,394;50,000
Estonia;55,414;60,000;56,667;0,000
Finland;52,381;70,000;60,465;0,000
France;22,879;64,024;32,558;60,000
Germany;36,354;64,734;47,080;26,667
Greece;45,183;62,500;50,993;37,500
Hungary;27,108;73,684;41,000;0,000
Ireland;12,937;39,535;6,085;-30,425
Italy;34,572;61,644;45,652;22,222
Latvia;37,736;62,500;41,026;0,000
Lithuania;55,021;38,462;69,828;100,000
Luxembourg;22,024;50,000;43,636;0,000
Malta;39,316;36,364;20,000;50,000
Netherlands;29,402;50,000;30,769;0,000
Poland;22,119;45,890;32,836;75,000
Portugal;9,071;32,000;10,204;0,000
Romania;29,957;55,556;49,462;33,333
Slovakia;29,719;46,154;38,710;0,000
Slovenia;33,929;100,000;38,095;0,000
Spain;10,668;43,243;10,294;42,857
Sweden;31,222;50,000;50,955;0,000
Total;32,058;56,442;39,373;-19,141
