﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","425","15","9,175","5","9,620"
"Abertawe - Swansea","2,210","7,135","65","15","9,425"
"Angus","165","10","3,845","5","4,025"
"Antrim and Newtownabbey","975","35","275","4,135","5,420"
"Argyll and Bute","180","10","2,745","5","2,945"
"Armagh, Banbridge and Craigavon","1,175","70","315","5,580","7,140"
"Bath and North East Somerset","5,375","505","140","10","6,030"
"Bedford","5,805","90","90","0","5,985"
"Belfast","2,090","100","650","8,385","11,225"
"Blackburn with Darwen","4,660","50","65","5","4,780"
"Blackpool","2,720","50","40","5","2,810"
"Blaenau Gwent - Blaenau Gwent","315","1,510","10","5","1,840"
"Bournemouth, Poole and Christchurch","10,000","500","125","20","10,640"
"Bracknell Forest","3,370","135","55","0","3,560"
"Brighton and Hove","9,710","170","240","15","10,135"
"Bro Morgannwg - The Vale of Glamorgan","1,815","3,190","45","10","5,060"
"Buckinghamshire","19,145","705","365","35","20,250"
"Caerdydd - Cardiff","4,665","11,130","180","25","16,005"
"Caerffili - Caerphilly","1,175","4,075","25","5","5,280"
"Cambridgeshire","20,360","370","575","30","21,330"
"Casnewydd - Newport","1,795","3,495","40","5","5,335"
"Castell-Nedd Port Talbot - Neath Port Talbot","855","3,905","25","5","4,795"
"Causeway Coast and Glens","1,025","40","250","3,295","4,615"
"Central Bedfordshire","7,815","165","100","10","8,090"
"Cheshire East","11,320","380","285","15","12,000"
"Cheshire West and Chester","9,630","740","225","25","10,620"
"City of Aberdeen","570","25","9,035","15","9,645"
"City of Bristol","13,955","1,035","330","15","15,335"
"City of Derby","7,845","125","60","10","8,045"
"City of Dundee","220","5","5,195","10","5,430"
"City of Edinburgh","2,335","75","18,290","35","20,735"
"City of Glasgow","1,145","50","22,395","30","23,615"
"City of Kingston upon Hull","6,210","35","45","5","6,290"
"City of Leicester","11,975","160","90","15","12,240"
"City of Nottingham","10,515","155","100","10","10,775"
"City of Plymouth","6,655","475","90","15","7,235"
"City of Portsmouth","5,595","145","70","10","5,820"
"City of Southampton","6,710","190","75","5","6,985"
"City of Stoke-on-Trent","6,605","120","35","10","6,770"
"City of York","5,870","55","250","5","6,180"
"Clackmannanshire","80","5","1,510","0","1,595"
"Conwy - Conwy","1,770","2,280","55","5","4,110"
"Cornwall","12,120","1,135","225","25","13,500"
"County Durham","11,995","115","325","15","12,455"
"Cumbria","10,550","200","555","15","11,320"
"Darlington","3,065","30","65","5","3,160"
"Derbyshire","19,515","350","290","20","20,175"
"Derry and Strabane","1,295","55","245","4,025","5,620"
"Devon","18,560","1,840","400","35","20,840"
"Dorset","9,015","640","155","5","9,815"
"Dumfries and Galloway","385","10","3,825","5","4,225"
"East Ayrshire","100","10","3,245","5","3,355"
"East Dunbartonshire","245","5","4,990","5","5,245"
"East Lothian","320","5","3,175","10","3,515"
"East Renfrewshire","205","10","4,750","10","4,970"
"East Riding of Yorkshire","8,770","100","165","10","9,050"
"East Sussex","14,020","370","315","25","14,725"
"Essex","39,610","695","605","55","40,965"
"Falkirk","150","5","4,615","5","4,775"
"Fermanagh and Omagh","895","45","215","3,100","4,250"
"Fife","605","25","10,495","20","11,145"
"Gloucestershire","16,480","1,735","355","25","18,600"
"Greater London","389,255","6,160","6,965","535","402,920"
"Greater Manchester","90,595","1,205","1,295","135","93,235"
