﻿Title:;Table 11 - HE student enrolments by permanent address and region of HE provider;;;;;;;;
Subtitle:;Academic years 2014/15 to 2022/23;;;;;;;;
Reference ID:;DT051 Table 11;;;;;;;;
Data source:;HESA;;;;;;;;
Data source link:;https://www.hesa.ac.uk/data-and-analysis/students/table-11;;;;;;;;
Data file canonical link:;https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv;;;;;;;;
Licence:;Creative Commons Attribution 4.0 International Licence;;;;;;;;
Date:;2024;;;;;;;;
Filters:;Permanent address;All ;;;;;;;
;Level of study;All ;;;;;;;
;Mode of study;All ;;;;;;;
;Academic year;2014/15 ;;;;;;;
Search:;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Region of HE provider;;;;;;;;
Permanent address;England;Wales;Scotland;Northern Ireland;Total United Kingdom;;;;
Aberdeenshire;520;15;7,165;5;7,71;;;;
Abertawe - Swansea;1,785;6,465;55;5;8,31;;;;
Angus;170;10;3,11;0;3,295;;;;
Antrim and Newtownabbey;695;40;340;3,485;4,56;;;;
Argyll and Bute;195;10;2,535;5;2,745;;;;
Armagh; Banbridge and Craigavon;995;50;415;5,135;6,595;;;
Bath and North East Somerset;4,9;380;120;10;5,41;;;;
Bedford;5,08;80;50;10;5,225;;;;
Belfast;1,79;100;600;9,175;11,66;;;;
Blackburn with Darwen;3,685;55;45;5;3,785;;;;
Blackpool;2,79;45;35;5;2,87;;;;
Blaenau Gwent - Blaenau Gwent;205;1,68;10;0;1,895;;;;
Bournemouth;4,395;125;40;10;4,57;;;;
Bracknell Forest;2,82;105;25;5;2,955;;;;
Brighton and Hove;8,195;110;110;10;8,425;;;;
Bro Morgannwg - The Vale of Glamorgan;1,595;3,01;35;5;4,645;;;;
Buckinghamshire;16,805;510;290;30;17,635;;;;
Caerdydd - Cardiff;3,82;10,085;105;10;14,025;;;;
Caerffili - Caerphilly;705;4,095;25;0;4,825;;;;
Cambridgeshire;17,49;330;395;20;18,235;;;;
Casnewydd - Newport;1,34;3,26;35;0;4,635;;;;
Castell-Nedd Port Talbot - Neath Port Talbot;650;3,595;20;5;4,265;;;;
Causeway Coast and Glens;990;55;330;3,35;4,725;;;;
Central Bedfordshire;7,1;130;90;10;7,33;;;;
Cheshire East;10,315;405;245;10;10,975;;;;
Cheshire West and Chester;8,81;715;205;10;9,735;;;;
City of Aberdeen;585;25;6,585;10;7,21;;;;
City of Bristol;10,86;850;180;20;11,905;;;;
City of Derby;6,6;95;55;10;6,755;;;;
City of Dundee;200;5;4,425;10;4,645;;;;
City of Edinburgh;1,965;55;15,635;25;17,685;;;;
City of Glasgow;980;60;17,77;20;18,835;;;;
City of Kingston upon Hull;5,175;30;45;5;5,25;;;;
City of Leicester;9,645;110;90;15;9,86;;;;
City of Nottingham;7,185;65;65;5;7,32;;;;
City of Plymouth;6,64;280;75;10;7,005;;;;
City of Portsmouth;4,62;120;50;5;4,8;;;;
City of Southampton;5,25;145;55;5;5,455;;;;
City of Stoke-on-Trent;5,335;100;30;10;5,47;;;;
City of York;5,585;70;190;5;5,855;;;;
Clackmannanshire;70;0;1,265;0;1,34;;;;
Conwy - Conwy;1,59;1,74;35;0;3,365;;;;
Cornwall;13,58;815;145;10;14,55;;;;
County Durham;11,405;80;295;15;11,79;;;;
Cumbria;10,61;165;610;25;11,41;;;;
Darlington;2,785;20;70;5;2,885;;;;
Derbyshire;17,575;345;250;25;18,19;;;;
Derry and Strabane;1,25;50;355;4,17;5,83;;;;
Devon;17,31;1,375;310;45;19,04;;;;
Dorset;9,27;525;155;10;9,96;;;;
Dumfries and Galloway;425;15;3,55;5;3,995;;;;
East Ayrshire;95;10;2,84;5;2,955;;;;
East Dunbartonshire;240;5;4,535;5;4,785;;;;
East Lothian;245;10;2,62;5;2,885;;;;
East Renfrewshire;210;10;4,3;5;4,52;;;;
East Riding of Yorkshire;8,635;95;170;10;8,915;;;;
East Sussex;12,725;255;195;20;13,195;;;;
Essex;34,65;575;415;40;35,68;;;;
Falkirk;155;5;3,38;5;3,545;;;;
Fermanagh and Omagh;940;30;250;2,98;4,205;;;;
Fife;560;15;8,785;15;9,375;;;;
Gloucestershire;14,395;1,58;280;35;16,29;;;;
Greater London;315,005;3,26;4,09;775;323,135;;;;
Greater Manchester;73,66;1,11;1;115;75,89;;;;
Gwynedd - Gwynedd;1,07;2,445;45;5;3,565;;;;
Halton;2,815;80;30;10;2,935;;;;
Hampshire;33,45;1,45;490;35;35,42;;;;
Hartlepool;2,41;10;35;5;2,455;;;;
Herefordshire;3,95;715;75;10;4,75;;;;
Hertfordshire;34,94;655;550;40;36,19;;;;
Highland;370;25;7,355;10;7,755;;;;
Inverclyde;95;0;2,075;0;2,17;;;;
Isle of Man;1,215;75;90;25;1,4;;;;
Isle of Wight;3,095;90;25;5;3,215;;;;
Isles of Scilly;40;5;0;0;45;;;;
Kent;38,035;655;545;45;39,28;;;;
Lancashire;31,87;580;750;55;33,255;;;;
Leicestershire;17,305;365;230;15;17,92;;;;
Lincolnshire;17,11;265;255;15;17,645;;;;
Lisburn and Castlereagh;1,02;40;425;3,985;5,465;;;;
Luton;6,695;60;30;10;6,79;;;;
Medway;6,59;75;70;5;6,74;;;;
Merseyside;36,47;840;560;65;37,935;;;;
Merthyr Tudful - Merthyr Tydfil;195;1,64;5;0;1,84;;;;
Mid Ulster;590;30;195;3,97;4,785;;;;
Mid and East Antrim;710;30;320;3,285;4,35;;;;
Middlesbrough;3,78;15;40;0;3,84;;;;
Midlothian;115;5;1,875;0;1,995;;;;
Milton Keynes;8,17;150;70;15;8,405;;;;
Moray;200;10;2,98;0;3,19;;;;
Newry; Mourne and Down;1,105;55;345;4,87;6,375;;;
Norfolk;18,12;310;305;20;18,755;;;;
North Ayrshire;130;10;3,185;0;3,325;;;;
North Down and Ards;1,09;60;570;3,5;5,215;;;;
North East Lincolnshire;2,875;30;30;0;2,935;;;;
North Lanarkshire;220;10;8,31;5;8,55;;;;
North Lincolnshire;3,23;40;40;0;3,31;;;;
North Somerset;4,69;530;75;10;5,31;;;;
North Yorkshire;15,885;235;575;25;16,72;;;;
Northamptonshire;18,34;405;205;30;18,98;;;;
Northumberland;7,235;70;580;20;7,91;;;;
Nottinghamshire;18,84;310;195;25;19,37;;;;
Orkney Islands;35;0;715;0;750;;;;
Oxfordshire;21,705;875;475;25;23,08;;;;
Pen-Y-Bont Ar Ogwr - Bridgend;910;3,46;25;5;4,4;;;;
Perth and Kinross;375;15;5,28;5;5,675;;;;
Peterborough;4,445;60;55;5;4,565;;;;
Poole;3,43;165;30;5;3,625;;;;
Powys - Powys;1,76;2,405;45;0;4,21;;;;
Reading;4,38;140;75;15;4,61;;;;
Redcar and Cleveland;3,435;15;50;0;3,505;;;;
Renfrewshire;195;5;5,165;5;5,37;;;;
Rhondda; Cynon; Taff - Rhondda; Cynon; Taff;1,005;5,855;30;5;6,895
Rutland;1,105;25;35;0;1,17;;;;
Scottish Borders;335;5;2,735;5;3,085;;;;
Shetland Islands;40;5;805;0;850;;;;
Shropshire;7,08;965;140;10;8,195;;;;
Sir Benfro - Pembrokeshire;960;2,52;25;5;3,505;;;;
Sir Ceredigion - Ceredigion;720;2,095;30;5;2,845;;;;
Sir Ddinbych - Denbighshire;1,385;1,385;45;5;2,815;;;;
Sir Fynwy - Monmouthshire;1,495;1,835;40;0;3,37;;;;
Sir Gaerfyrddin - Carmarthenshire;1,265;5,07;35;5;6,37;;;;
Sir Y Fflint - Flintshire;2,37;1,97;35;5;4,38;;;;
Sir Ynys Môn - Isle of Anglesey;730;1,335;20;0;2,085;;;;
Slough;4,34;65;25;15;4,445;;;;
Somerset;11,135;920;220;25;12,3;;;;
South Ayrshire;135;5;3,325;0;3,47;;;;
South Gloucestershire;6,17;685;70;15;6,945;;;;
South Lanarkshire;325;10;8,955;10;9,305;;;;
South Yorkshire;29,9;320;380;25;30,63;;;;
Southend-on-Sea;4,265;75;55;5;4,405;;;;
Staffordshire;21,535;740;240;10;22,525;;;;
Stirling;245;5;3,02;5;3,28;;;;
